college_id,ranking_authority,ranking_year,overall_rank,overall_score,overall_total_score,parameter_id,parameter_score,rank_band
32666,2,2019,,45.0–47.9,100,2,37.3,126–150
32666,2,2023,,42.2–44.9,100,3,84,176–200
32666,2,2022,,45.4–48.4,100,3,83.5,126–150
32666,2,2021,,37.9–41.9,100,3,82,201–250
32666,2,2020,,43.0–45.5,100,3,86.3,151–175
32666,2,2019,,45.0–47.9,100,3,86.4,126–150
32666,2,2023,,42.2–44.9,100,4,21.5,176–200
32666,2,2022,,45.4–48.4,100,4,27.5,126–150
32666,2,2021,,37.9–41.9,100,4,28.8,201–250
32666,2,2020,,43.0–45.5,100,4,23.4,151–175
32666,2,2019,,45.0–47.9,100,4,31.2,126–150
32666,2,2023,,42.2–44.9,100,5,26.4,176–200
32666,2,2022,,45.4–48.4,100,5,25.3,126–150
32666,2,2021,,37.9–41.9,100,5,20.1,201–250
32666,2,2020,,43.0–45.5,100,5,22.9,151–175
32666,2,2019,,45.0–47.9,100,5,18.2,126–150
32667,2,2023,,45.0–47.0,100,1,74.9,151–175
32667,2,2022,,45.4–48.4,100,1,78,126–150
32667,2,2021,,49.0–53.1,100,1,80.5,101–125
32667,2,2020,,48.7–52.2,100,1,80.5,101–125
32667,2,2019,,45.0–47.9,100,1,76.7,126–150
32667,2,2023,,45.0–47.0,100,2,34.6,151–175
32667,2,2022,,45.4–48.4,100,2,45.5,126–150
32667,2,2021,,49.0–53.1,100,2,43.1,101–125
32667,2,2020,,48.7–52.2,100,2,50.3,101–125
32667,2,2019,,45.0–47.9,100,2,61.3,126–150
32667,2,2023,,45.0–47.0,100,3,67.7,151–175
32667,2,2022,,45.4–48.4,100,3,64.5,126–150
32667,2,2021,,49.0–53.1,100,3,62.5,101–125
32667,2,2020,,48.7–52.2,100,3,61.1,101–125
32667,2,2019,,45.0–47.9,100,3,60.9,126–150
32667,2,2023,,45.0–47.0,100,4,36.8,151–175
32667,2,2022,,45.4–48.4,100,4,35.4,126–150
32667,2,2021,,49.0–53.1,100,4,38.9,101–125
32667,2,2020,,48.7–52.2,100,4,41.8,101–125
32667,2,2019,,45.0–47.9,100,4,38.9,126–150
32667,2,2023,,45.0–47.0,100,5,25.8,151–175
32667,2,2022,,45.4–48.4,100,5,27,126–150
32667,2,2021,,49.0–53.1,100,5,33.4,101–125
32667,2,2020,,48.7–52.2,100,5,33.9,101–125
32667,2,2019,,45.0–47.9,100,5,26.9,126–150
32668,2,2023,,29.5–33.4,100,1,49.7,401–500
32668,2,2022,,28.2–32.1,100,1,57.2,401–500
32668,2,2021,,31.3–35.1,100,1,59.6,301–400
32668,2,2020,,30.0–34.6,100,1,62.5,301–400
32668,2,2019,,28.5–33.1,100,1,55.8,301–400
32668,2,2023,,29.5–33.4,100,2,34.2,401–500
32668,2,2022,,28.2–32.1,100,2,34.3,401–500
32668,2,2021,,31.3–35.1,100,2,34.4,301–400
32668,2,2020,,30.0–34.6,100,2,35.3,301–400
32668,2,2019,,28.5–33.1,100,2,35.2,301–400
32668,2,2023,,29.5–33.4,100,3,59,401–500
32668,2,2022,,28.2–32.1,100,3,53,401–500
32668,2,2021,,31.3–35.1,100,3,47.8,301–400
32668,2,2020,,30.0–34.6,100,3,51.1,301–400
32668,2,2019,,28.5–33.1,100,3,53.1,301–400
32668,2,2023,,29.5–33.4,100,4,19.1,401–500
32668,2,2022,,28.2–32.1,100,4,19.9,401–500
32668,2,2021,,31.3–35.1,100,4,24.2,301–400
32668,2,2020,,30.0–34.6,100,4,25.8,301–400
32668,2,2019,,28.5–33.1,100,4,21.2,301–400
32668,2,2023,,29.5–33.4,100,5,17.7,401–500
32668,2,2022,,28.2–32.1,100,5,16,401–500
